economy_lower_tier_local_authorities_code,economy_lower_tier_local_authorities,economy_does_not_apply,economy_employed,economy_not_employed
E06000001,Hartlepool,17652,37749,36937
E06000002,Middlesbrough,29986,56434,57504
E06000003,Redcar and Cleveland,24189,55621,56721
E06000004,Stockton-on-Tees,38585,86443,71567
E06000005,Darlington,19693,49296,38810
E06000006,Halton,24530,58706,45242
E06000007,Warrington,38256,103191,69527
E06000008,Blackburn with Darwen,35230,63557,55951
E06000009,Blackpool,24697,59362,56977
E06000010,Kingston upon Hull,53137,117789,96088
E06000011,East Riding of Yorkshire,54075,156120,132020
E06000012,North East Lincolnshire,29444,68849,58673
E06000013,North Lincolnshire,30213,76223,63244
E06000014,York,30738,96195,75885
E06000015,Derby,52174,116201,92989
E06000016,Leicester,77557,154934,136080
E06000017,Rutland,6751,18783,15515
E06000018,Nottingham,59310,128868,135455
E06000019,Herefordshire,29901,88511,68622
E06000020,Telford and Wrekin,36867,85497,63177
E06000021,Stoke-on-Trent,52469,112580,93320
E06000022,Bath and North East Somerset,31791,89812,71806
E06000023,Bristol,82757,238511,151198
E06000024,North Somerset,38161,102702,75865
E06000025,South Gloucestershire,53058,147612,89754
E06000026,Plymouth,46071,121018,97606
E06000027,Torbay,22292,58935,58097
E06000030,Swindon,46259,117866,69285
E06000031,Peterborough,48100,100968,66605
E06000032,Luton,52563,98721,73977
E06000033,Southend-on-Sea,34276,83259,63151
E06000034,Thurrock,39637,85948,50415
E06000035,Medway,57016,132606,90151
E06000036,Bracknell Forest,24675,66397,33536
E06000037,West Berkshire,30712,82307,48429
E06000038,Reading,32864,88866,52494
E06000039,Slough,39566,73700,45234
E06000040,Windsor and Maidenhead,29821,76302,47373
E06000041,Wokingham,36681,89467,51354
E06000042,Milton Keynes,62229,143378,81453
E06000043,Brighton and Hove,41736,139291,96076
E06000044,Portsmouth,37183,97787,73033
E06000045,Southampton,44554,118228,86140
E06000046,Isle of Wight,20873,57910,61677
E06000047,County Durham,88110,222215,211743
E06000049,Cheshire East,69298,192490,136987
E06000050,Cheshire West and Chester,61792,169088,126270
E06000051,Shropshire,51360,152423,119823
E06000052,Cornwall,92880,254247,223178
E06000053,Isles of Scilly,324,1114,616
E06000054,Wiltshire,91219,252345,166769
E06000055,Bedford,37107,90865,57253
E06000056,Central Bedfordshire,57492,151077,85683
E06000057,Northumberland,51721,140777,128069
E06000058,"Bournemouth, Christchurch and Poole",65287,186032,148877
E06000059,Dorset,57677,167777,154125
E06000060,Buckinghamshire,109683,273233,170159
E06000061,North Northamptonshire,70339,178855,110331
E06000062,West Northamptonshire,82223,215995,127507
E07000008,Cambridge,20909,70598,54167
E07000009,East Cambridgeshire,16333,44695,26734
E07000010,Fenland,17630,47108,37724
E07000011,Huntingdonshire,32571,91391,56870
E07000012,South Cambridgeshire,31758,82267,48094
E07000026,Allerdale,15641,44235,36278
E07000027,Barrow-in-Furness,11573,31183,24651
E07000028,Carlisle,18681,52950,38393
E07000029,Copeland,11068,30570,25438
E07000030,Eden,8099,27335,19300
E07000031,South Lakeland,14747,50137,39566
E07000032,Amber Valley,21143,60171,44892
E07000033,Bolsover,13995,38100,28178
E07000034,Chesterfield,17565,47532,38472
E07000035,Derbyshire Dales,10480,33228,27832
E07000036,Erewash,19379,54966,38560
E07000037,High Peak,15273,44614,31046
E07000038,North East Derbyshire,16727,46563,38711
E07000039,South Derbyshire,20254,53906,33048
E07000040,East Devon,23439,66726,60662
E07000041,Exeter,19378,59700,51631
E07000042,Mid Devon,14647,40282,27923
E07000043,North Devon,16418,45163,37030
E07000044,South Hams,13659,40585,34383
E07000045,Teignbridge,21342,62137,51324
E07000046,Torridge,10555,30053,27506
E07000047,West Devon,8733,25384,22979
E07000061,Eastbourne,17110,43831,40745
E07000062,Hastings,16291,40899,33805
E07000063,Lewes,16683,44507,38715
E07000064,Rother,13621,37934,41555
E07000065,Wealden,26503,74543,59105
E07000066,Basildon,38908,89011,59652
E07000067,Braintree,28699,76284,50285
E07000068,Brentwood,14180,37901,24964
E07000069,Castle Point,15175,41006,33406
E07000070,Chelmsford,33785,89862,57876
E07000071,Colchester,36373,92015,64327
E07000072,Epping Forest,25048,65796,44136
E07000073,Harlow,20226,45981,27121
E07000074,Maldon,10780,31256,24172
E07000075,Rochford,14951,40658,30052
E07000076,Tendring,23401,58281,66610
