education_lower_tier_local_authorities_code,education_lower_tier_local_authorities,education_does_not_apply,education_level_1_and_entry_level_qualifications_1_to_4_gcses_grade_a*_to_c_any_gcses_at_other_grades_o_levels_or_cses_any_grades_1_as_level_nvq_level_1_foundation_gnvq_basic_or_essential_skills,education_level_2_qualifications_5_or_more_gcses_a*_to_c_or_9_to_4_o_levels_passes_cses_grade_1_school_certification_1_a_level_2_to_3_as_levels_vces_intermediate_or_higher_diploma_welsh_baccalaureate_intermediate_diploma_nvq_level_2_intermediate_gnvq_city_and_guilds_craft_btec_first_or_general_diploma_rsa_diploma,education_level_3_qualifications_2_or_more_a_levels_or_vces_4_or_more_as_levels_higher_school_certificate_progression_or_advanced_diploma_welsh_baccalaureate_advance_diploma_nvq_level_3;_advanced_gnvq_city_and_guilds_advanced_craft_onc_ond_btec_national_rsa_advanced_diploma,education_level_4_qualifications_or_above_degree_ba_bsc_higher_degree_ma_phd_pgce_nvq_level_4_to_5_hnc_hnd_rsa_higher_diploma_btec_higher_level_professional_qualifications_for_example_teaching_nursing_accountancy,education_no_qualifications,education_other_apprenticeships_vocational_or_work-related_qualifications_other_qualifications_achieved_in_england_or_wales_qualifications_achieved_outside_england_or_wales_equivalent_not_stated_or_unknown
E06000001,Hartlepool,17652,7076,10963,13776,18526,17286,7059
E06000002,Middlesbrough,29986,11221,15270,19976,30127,27282,10063
E06000003,Redcar and Cleveland,24189,10983,15663,21300,28003,24732,11661
E06000004,Stockton-on-Tees,38585,15324,23005,29004,46648,29441,14588
E06000005,Darlington,19693,8276,12733,16141,25517,16972,8468
E06000006,Halton,24530,12338,17403,19057,24876,21865,8409
E06000007,Warrington,38256,17238,25489,29830,56955,28453,14754
E06000008,Blackburn with Darwen,35230,12968,16574,18823,32054,28923,10166
E06000009,Blackpool,24697,13677,17470,19382,26177,28575,11059
E06000010,Kingston upon Hull,53137,24163,30143,37418,46511,54010,21635
E06000011,East Riding of Yorkshire,54075,28930,40565,49602,87851,52477,28715
E06000012,North East Lincolnshire,29444,15531,20513,20885,27537,30907,12150
E06000013,North Lincolnshire,30213,16292,21104,23954,33361,30466,14290
E06000014,York,30738,12802,19552,37410,66749,22953,12617
E06000015,Derby,52174,21586,27706,36230,62097,42141,19430
E06000016,Leicester,77557,31152,33954,46860,77900,77692,23456
E06000017,Rutland,6751,2953,5278,5835,13012,4491,2731
E06000018,Nottingham,59310,23096,29844,66236,75673,51554,17919
E06000019,Herefordshire,29901,14982,22184,26573,51420,28315,13659
E06000020,Telford and Wrekin,36867,16732,23218,27765,38803,29666,12489
E06000021,Stoke-on-Trent,52469,22574,30443,34678,44948,53354,19904
E06000022,Bath and North East Somerset,31791,11972,19147,35318,64251,19805,11125
E06000023,Bristol,82757,29350,41789,73981,164106,56657,23826
E06000024,North Somerset,38161,17219,26482,32377,60489,26615,15385
E06000025,South Gloucestershire,53058,23996,33959,46440,78233,33792,20946
E06000026,Plymouth,46071,21388,30727,47362,60155,37894,21098
E06000027,Torbay,22292,13696,18096,20227,29628,23137,12248
E06000030,Swindon,46259,24335,30268,30591,52220,32430,17306
E06000031,Peterborough,48100,20666,24191,25727,43956,37471,15562
E06000032,Luton,52563,19650,21943,24832,51546,39478,15249
E06000033,Southend-on-Sea,34276,17593,23151,25291,39832,28823,11720
E06000034,Thurrock,39637,16640,21251,22151,35723,29443,11155
E06000035,Medway,57016,26898,35426,40009,57001,43158,20265
E06000036,Bracknell Forest,24675,10581,14929,17874,35578,13183,7788
E06000037,West Berkshire,30712,12985,18954,22048,48376,18484,9889
E06000038,Reading,32864,12932,15070,23734,57149,22361,10116
E06000039,Slough,39566,12764,14336,16181,41423,23966,10264
E06000040,Windsor and Maidenhead,29821,10077,15918,18341,55603,15552,8184
E06000041,Wokingham,36681,11396,17773,22992,65047,14671,8942
E06000042,Milton Keynes,62229,24422,32011,35371,80545,35577,16905
E06000043,Brighton and Hove,41736,16545,25067,46359,104790,29215,13391
E06000044,Portsmouth,37183,16434,22404,37296,51190,29766,13731
E06000045,Southampton,44554,19470,25671,41992,64663,35381,17191
E06000046,Isle of Wight,20873,13355,17501,21444,32783,22064,12439
E06000047,County Durham,88110,41359,61724,86414,116019,90804,37638
E06000049,Cheshire East,69298,28571,45115,55373,123785,49524,27105
E06000050,Cheshire West and Chester,61792,27467,40467,52461,105387,46771,22805
E06000051,Shropshire,51360,26154,40900,47417,88502,45573,23700
E06000052,Cornwall,92880,47676,72367,89955,145890,77919,43618
E06000053,Isles of Scilly,324,119,272,341,655,213,130
E06000054,Wiltshire,91219,42756,62668,76544,143201,60409,33536
E06000055,Bedford,37107,15366,19977,23976,51411,24813,12575
E06000056,Central Bedfordshire,57492,24650,34892,43107,78654,35598,19858
