ethnic_lower_tier_local_authorities_code,ethnic_lower_tier_local_authorities,ethnic_asian_asian_british_or_asian_welsh_bangladeshi,ethnic_asian_asian_british_or_asian_welsh_chinese,ethnic_asian_asian_british_or_asian_welsh_indian,ethnic_asian_asian_british_or_asian_welsh_other_asian,ethnic_asian_asian_british_or_asian_welsh_pakistani,ethnic_black_black_british_black_welsh_caribbean_or_african_african,ethnic_black_black_british_black_welsh_caribbean_or_african_caribbean,ethnic_black_black_british_black_welsh_caribbean_or_african_other_black,ethnic_does_not_apply,ethnic_mixed_or_multiple_ethnic_groups_other_mixed_or_multiple_ethnic_groups,ethnic_mixed_or_multiple_ethnic_groups_white_and_asian,ethnic_mixed_or_multiple_ethnic_groups_white_and_black_african,ethnic_mixed_or_multiple_ethnic_groups_white_and_black_caribbean,ethnic_other_ethnic_group_any_other_ethnic_group,ethnic_other_ethnic_group_arab,ethnic_white_english_welsh_scottish_northern_irish_or_british,ethnic_white_gypsy_or_irish_traveller,ethnic_white_irish,ethnic_white_other_white,ethnic_white_roma
E06000001,Hartlepool,278,217,335,473,297,327,57,61,0,173,240,115,143,284,270,87761,37,170,1081,19
E06000002,Middlesbrough,595,669,2804,2032,8990,3339,162,315,0,671,1110,650,570,2016,1452,114421,160,434,3212,320
E06000003,Redcar and Cleveland,158,208,175,336,283,182,48,35,0,240,460,215,270,211,321,131789,87,350,1148,14
E06000004,Stockton-on-Tees,236,690,1812,1439,4875,1823,130,250,0,725,1131,469,412,1106,558,177526,145,528,2595,143
E06000005,Darlington,759,308,1086,618,195,456,135,110,0,374,516,198,384,603,329,97320,434,342,3525,104
E06000006,Halton,58,418,375,460,125,293,84,134,0,458,461,342,530,523,241,120301,91,685,2831,68
E06000007,Warrington,197,1326,2347,1324,1760,1075,277,224,0,753,1204,593,785,1410,393,185940,115,1366,9717,167
E06000008,Blackburn with Darwen,1473,400,24389,1391,27525,1061,170,175,0,668,1329,231,368,1328,841,87997,101,589,4562,143
E06000009,Blackpool,442,542,892,1228,572,449,175,87,0,519,645,408,638,676,216,127445,236,808,4854,207
E06000010,Kingston upon Hull,1279,1234,1259,2451,1292,4292,232,541,0,1249,1172,1144,948,3488,1443,223962,451,455,19835,286
E06000011,East Riding of Yorkshire,129,766,1210,1053,528,617,173,104,0,851,1092,547,707,908,368,323838,324,1063,7819,118
E06000012,North East Lincolnshire,318,438,543,802,336,644,98,104,0,432,502,306,377,671,366,145362,65,320,5156,127
E06000013,North Lincolnshire,1840,451,1126,1192,1013,663,85,70,0,458,717,289,356,1148,224,150554,168,556,8548,226
E06000014,York,413,2889,1853,1934,545,978,208,139,0,1037,1579,494,631,1331,623,176963,368,1317,9297,222
E06000015,Derby,827,1416,12631,4993,21034,6110,3056,1316,0,2048,2412,924,4178,6516,1032,173077,408,1982,16241,1163
E06000016,Leicester,7055,2481,126421,11347,12673,21536,4466,2764,0,3439,3659,1776,5025,11870,3402,122395,457,1789,25177,839
E06000017,Rutland,19,149,236,170,60,251,213,88,0,166,249,93,236,198,13,37372,86,265,1168,18
E06000018,Nottingham,2223,4263,11515,8532,21684,18740,9339,4136,0,3442,3363,2129,10129,7037,3673,185580,269,2360,24091,1130
E06000019,Herefordshire,55,339,843,842,139,340,150,77,0,538,689,280,473,795,224,170419,431,727,9510,161
E06000020,Telford and Wrekin,207,818,4559,1115,3368,3962,748,641,0,770,1315,676,2083,1401,242,153936,203,723,8589,187
E06000021,Stoke-on-Trent,1577,1073,2772,4596,15579,5048,916,920,0,1017,1783,1020,2040,3639,690,202906,295,572,11498,428
E06000022,Bath and North East Somerset,359,2089,1787,1876,278,980,616,250,0,1310,1846,595,1505,1058,552,165478,71,1427,11114,218
E06000023,Bristol,2616,5466,8302,5821,9064,18149,6803,2938,0,5225,5556,2621,7714,6510,2540,338452,273,4288,39163,966
E06000024,North Somerset,433,725,1067,949,148,733,251,155,0,940,1191,497,1007,957,247,195915,187,1210,9948,169
E06000025,South Gloucestershire,581,2113,4867,2181,1352,2787,1219,528,0,1720,1953,905,2711,1900,751,249160,443,1327,13553,373
E06000026,Plymouth,537,1430,1403,2188,389,2022,460,304,0,1339,1349,860,1108,1902,677,236802,165,1055,10537,168
E06000027,Torbay,129,435,527,1001,162,264,135,48,0,536,679,288,581,481,136,128375,41,714,4714,78
E06000030,Swindon,1403,1156,17643,4946,2025,4149,1044,930,0,1778,1694,1051,1972,3134,344,173231,177,1545,14652,537
E06000031,Peterborough,442,990,7169,5228,16972,6225,1419,1107,0,1979,2021,1627,1990,5023,897,128353,551,1177,31562,938
