migrant_lower_tier_local_authorities_code,migrant_lower_tier_local_authorities,migrant_address_one_year_ago_is_student_term-time_or_boarding_school_address_in_the_uk,migrant_address_one_year_ago_is_the_same_as_the_address_of_enumeration,migrant_does_not_apply,migrant_migrant_from_outside_the_uk_address_one_year_ago_was_outside_the_uk,migrant_migrant_from_within_the_uk_address_one_year_ago_was_in_the_uk
E06000001,Hartlepool,181,83133,918,271,7834
E06000002,Middlesbrough,755,126756,1621,2244,12548
E06000003,Redcar and Cleveland,148,125080,1176,331,9796
E06000004,Stockton-on-Tees,286,177449,1916,853,16088
E06000005,Darlington,177,96392,1040,518,9672
E06000006,Halton,150,117889,1261,500,8678
E06000007,Warrington,428,190568,1946,1346,16686
E06000008,Blackburn with Darwen,212,140262,1925,1249,11091
E06000009,Blackpool,180,126403,1407,901,12146
E06000010,Kingston upon Hull,2152,234760,3088,2012,25002
E06000011,East Riding of Yorkshire,621,309075,2622,1174,28723
E06000012,North East Lincolnshire,186,141536,1534,674,13036
E06000013,North Lincolnshire,224,153715,1561,888,13291
E06000014,York,5847,166270,1688,2563,26453
E06000015,Derby,1865,230959,2930,2173,23436
E06000016,Leicester,5526,316173,4203,7030,35640
E06000017,Rutland,201,36049,275,284,4239
E06000018,Nottingham,13344,254460,3166,6245,46417
E06000019,Herefordshire,388,167356,1516,1128,16646
E06000020,Telford and Wrekin,720,164089,1985,1184,17563
E06000021,Stoke-on-Trent,1273,231158,3036,1772,21130
E06000022,Bath and North East Somerset,4918,157779,1769,2806,26137
E06000023,Bristol,10860,384986,5166,6664,64789
E06000024,North Somerset,508,194056,1942,1089,19133
E06000025,South Gloucestershire,1642,256214,3064,2096,27407
E06000026,Plymouth,3233,228569,2450,1712,28731
E06000027,Torbay,271,125210,1083,673,12087
E06000030,Swindon,411,207187,2504,2249,21058
E06000031,Peterborough,383,190028,2700,2316,20245
E06000032,Luton,446,199322,3133,3756,18604
E06000033,Southend-on-Sea,348,161568,1960,1008,15802
E06000034,Thurrock,260,158909,2287,996,13548
E06000035,Medway,739,249090,3274,1711,24959
E06000036,Bracknell Forest,339,109157,1352,1067,12693
E06000037,West Berkshire,518,144162,1509,1084,14175
E06000038,Reading,2913,143154,1980,3914,22263
E06000039,Slough,308,141153,2166,2182,12691
E06000040,Windsor and Maidenhead,597,135155,1462,1903,14382
E06000041,Wokingham,872,155971,1722,1858,17081
E06000042,Milton Keynes,704,251495,3256,3164,28441
E06000043,Brighton and Hove,5784,222496,2199,4166,42456
E06000044,Portsmouth,3639,172537,2234,2802,26792
E06000045,Southampton,4628,205697,2712,4965,30917
E06000046,Isle of Wight,234,125058,991,677,13499
E06000047,County Durham,5712,462522,4623,2657,46551
E06000049,Cheshire East,874,354252,3648,2646,37352
E06000050,Cheshire West and Chester,1940,319027,3280,2307,30596
E06000051,Shropshire,757,288903,2656,1784,29506
E06000052,Cornwall,3048,504540,4726,2652,55339
E06000053,Isles of Scilly,3,1844,18,13,175
E06000054,Wiltshire,1357,451885,4557,3330,49204
E06000055,Bedford,472,163567,2163,1672,17351
E06000056,Central Bedfordshire,638,262318,3309,1892,26095
E06000057,Northumberland,468,291002,2575,983,25539
E06000058,"Bournemouth, Christchurch and Poole",3334,341555,3678,3808,47821
E06000059,Dorset,830,339034,2664,1828,35223
E06000060,Buckinghamshire,1771,491751,5648,3836,50074
E06000061,North Northamptonshire,631,321142,3714,2529,31508
E06000062,West Northamptonshire,1657,374988,4458,4227,40392
E07000008,Cambridge,4807,110415,1224,6195,23033
