Month,crime_count,Ethnic_Asian_Bangladeshi,Ethnic_Asian_Chinese,Ethnic_Asian_Indian,Ethnic_Asian_Other,Ethnic_Asian_Pakistani,Ethnic_Black_African,Ethnic_Black_Caribbean,Ethnic_Black_Other,ethnic_does_not_apply,Ethnic_Mixed_Other,Ethnic_Mixed_White_Asian,Ethnic_Mixed_White_Black_African,Ethnic_Mixed_White_Black_Caribbean,Ethnic_Other,Ethnic_Arab,Ethnic_White_British,Ethnic_White_Gypsy_Traveller,Ethnic_White_Irish,Ethnic_White_Other,Ethnic_White_Roma,economy_does_not_apply,Economy_Employed,Economy_Not_Employed,employment_does_not_apply,Employment_Never_Worked,Employment_Not_Worked_12M,Employment_Worked_12M,education_does_not_apply,Education_Level_1,Education_Level_2,Education_Level_3,Education_Level_4+,Education_No_Qualifications,Education_Other_Qualifications,Migrant_Student_UK,Migrant_Same_Address,Migrant_NA,Migrant_Outside_UK,Migrant_Within_UK
2021-01-01,95,369,269,303,365,89,359,110,61,0,470,535,316,306,489,208,57390,105,488,2258,53,11591,29825,23128,41416,4443,16200,2485,11591,6065,7949,9055,14784,10333,4767,93,58791,539,233,4888
2021-01-01,212,43,139,103,221,34,59,19,6,0,175,241,74,137,197,38,92981,53,241,1359,33,15641,44235,36278,59876,7882,24709,3687,15641,7969,11162,13887,22855,16609,8031,124,88032,841,264,6891
2021-01-01,250,37,282,496,281,112,180,149,52,0,293,467,169,619,274,26,119934,66,453,2279,35,21143,60171,44892,81314,8602,31693,4597,21143,10975,15009,18723,30265,20668,9420,200,115187,1097,330,9395
2021-01-01,316,523,433,727,839,108,500,221,136,0,700,784,420,580,793,121,146178,216,1018,10431,159,25335,73191,66360,98526,11293,48152,6918,25335,16142,21323,23983,36839,27534,13731,352,147241,1347,801,15148
2021-01-01,272,56,356,873,474,209,959,395,221,0,387,449,267,956,450,100,115972,67,313,3741,54,23454,58430,44416,81884,10598,29329,4489,23454,12299,16138,18393,22185,24281,9551,143,115556,1240,333,9027
2021-01-01,338,336,578,1720,4630,404,2504,572,348,0,766,898,438,775,1584,298,109673,686,776,5682,79,25978,63617,43154,89593,9535,28563,5056,25978,12098,16412,18232,32148,18829,9047,265,117597,1408,962,12515
2021-01-01,180,107,177,234,320,37,287,124,92,0,376,382,210,383,307,37,86418,40,481,2304,26,14962,42957,34422,57919,5338,25490,3594,14962,8642,12142,13410,22817,13491,6875,185,82819,713,316,8308
2021-01-01,477,22393,1385,11503,5503,15799,35101,5824,5882,0,2420,1550,2376,2974,6397,1489,67550,184,1185,28498,858,57124,94589,67156,151713,28236,28678,10242,57124,16752,20367,21819,53791,36796,12221,296,197250,3156,2182,15985
2021-01-01,538,2873,9434,30389,25589,6687,22670,4951,3030,0,7605,6032,3747,3505,30687,7383,140777,179,7644,74608,1554,79990,186175,123179,266165,41107,63342,18730,79990,21302,30687,38541,151642,47762,19420,1433,340971,4611,5916,36413
2021-01-01,746,39,542,504,844,368,1311,163,241,0,540,605,394,754,1118,215,226488,229,526,9377,314,44782,111680,88110,156462,22895,56262,8953,44782,21589,28977,33652,46798,50329,18445,253,223187,2511,806,17815
